qid,label,osm_type,osm_id,osm_url
Q133885585,Arholma brygga,node,1611299356,https://www.openstreetmap.org/node/1611299356
Q133867299,Lidö brygga,node,1823005981,https://www.openstreetmap.org/node/1823005981
Q134307047,Landsort norra hamn,node,9724390439,https://www.openstreetmap.org/node/9724390439
Q134007303,Landsort västra hamn,node,2942213200,https://www.openstreetmap.org/node/2942213200
Q134007357,Landsort östra hamn,node,8685215061,https://www.openstreetmap.org/node/8685215061
Q134310449,Södra Grinda brygga,node,758463397,https://www.openstreetmap.org/node/758463397
Q134442879,Norra Grinda brygga,node,859356638,https://www.openstreetmap.org/node/859356638
Q134007558,"Sand brygga, Nämdö",node,946510502,https://www.openstreetmap.org/node/946510502
Q134007589,Nämdöböte brygga,node,946510410,https://www.openstreetmap.org/node/946510410
Q134007653,Solvik brygga,node,946514711,https://www.openstreetmap.org/node/946514711
Q134007692,Östanvik brygga,node,946514729,https://www.openstreetmap.org/node/946514729
Q133886292,Nåttarö brygga,node,435187426,https://www.openstreetmap.org/node/435187426
Q134008562,Rånö brygga,node,424093156,https://www.openstreetmap.org/node/424093156
Q134621885,Ålö brygga,node,2321869273,https://www.openstreetmap.org/node/2321869273
Q133884785,Spränga brygga,node,424056139,https://www.openstreetmap.org/node/424056139
Q133884836,Gruvbryggan,node,269395949,https://www.openstreetmap.org/node/269395949
Q134539845,Ornö kyrka brygga,node,1917030192,https://www.openstreetmap.org/node/1917030192
Q134621708,Hasselmara brygga,node,491552371,https://www.openstreetmap.org/node/491552371
Q134621751,Ornöboda brygga,node,435221526,https://www.openstreetmap.org/node/435221526
Q134626197,Lättinge brygga,node,2550392590,https://www.openstreetmap.org/node/2550392590
Q133993978,Fjärdlång brygga,node,435221450,https://www.openstreetmap.org/node/435221450
Q133994206,Skälviks brygga,node,2908794120,https://www.openstreetmap.org/node/2908794120
Q134000657,Söderboudd brygga,node,2908793792,https://www.openstreetmap.org/node/2908793792
Q134367350,Norra Svartsö brygga,node,822562778,https://www.openstreetmap.org/node/822562778
Q134621955,Alsvik brygga,node,2908793764,https://www.openstreetmap.org/node/2908793764
Q134008052,Brottö brygga,node,5861205706,https://www.openstreetmap.org/node/5861205706
Q133994161,Styrsvik brygga,node,7784981225,https://www.openstreetmap.org/node/7784981225
Q134297092,"Gatan, brygga",node,467047074,https://www.openstreetmap.org/node/467047074
Q134369594,Långviks brygga,node,7786882522,https://www.openstreetmap.org/node/7786882522
Q133884655,Roddbåtar att korsa mellan Ingmarsö till Finnhamn,way,39504808,https://www.openstreetmap.org/way/39504808
Q133884690,Norra Ingmarsö brygga,node,7683934978,https://www.openstreetmap.org/node/7683934978
Q134007206,Södra Ingmarsö brygga,node,2908793762,https://www.openstreetmap.org/node/2908793762
Q134444768,Finnhamn brygga,node,2927541101,https://www.openstreetmap.org/node/2927541101
Q134369914,Köpmanholm brygga,node,5530966,https://www.openstreetmap.org/node/5530966
Q134521444,Möjaström brygga,node,2349235266,https://www.openstreetmap.org/node/2349235266
Q134522797,Bergs brygga,node,441941298,https://www.openstreetmap.org/node/441941298
Q134522835,Ramsmora brygga,node,2334340773,https://www.openstreetmap.org/node/2334340773
Q134523091,Långviks brygga,node,2349139503,https://www.openstreetmap.org/node/2349139503
Q136687404,Löka brygga,node,2349013583,https://www.openstreetmap.org/node/2349013583
Q134527143,Yxlö brygga,node,5729827888,https://www.openstreetmap.org/node/5729827888
Q134370050,Sandhamn brygga,node,476790748,https://www.openstreetmap.org/node/476790748
