tags,id,osm_type,toilets_num
{'amenity': 'toilets'},426925731,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Hulda', 'wheelchair': 'limited'}",863394740,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",863394751,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'name': 'Linn', 'wheelchair': 'yes'}",863394827,node,1
"{'amenity': 'toilets', 'capacity': '3', 'name': 'Elsa'}",863423228,node,1
"{'amenity': 'toilets', 'name': 'Misse'}",863423239,node,1
{'amenity': 'toilets'},863423311,node,1
"{'amenity': 'toilets', 'capacity': '2', 'name': 'Pia'}",863423335,node,1
"{'access': 'no', 'amenity': 'toilets', 'description': 'Igenspikad'}",1234107386,node,1
"{'access': 'yes', 'amenity': 'toilets', 'check_date': '2025-08-06', 'fee': 'no', 'image': 'https://commons.wikimedia.org/entity/M163246546', 'note': 'Skärgårdsstiftelsen sköter om dessa toaletter finns vattenpump med dricksvatten nära', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'portable': 'no', 'toilets:disposal': 'bucket', 'toilets:handwashing': 'no', 'wikimedia_commons': 'Category:Ålö_storsand,_public_toilets'}",1412263117,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-04-20', 'description': 'Enkel torrtoalett med träväggar', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg/1024px-SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg', 'image:license': 'CC-0', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:paper_supplied': 'yes', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'water': 'no', 'wheelchair': 'no', 'wikimedia_commons': 'Category:Fjärdlång_public_toilets'}",2225378750,node,2
"{'amenity': 'toilets', 'image': 'https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg', 'image:license': 'CC-0'}",2285332792,node,1
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",2285332799,node,1
{'amenity': 'toilets'},2451364941,node,1
"{'amenity': 'toilets', 'check_date': '2023-02-13', 'description': 'ligger mellan bryggan och seglarhotellet', 'fee': 'no', 'hot_water': 'yes', 'seamark:small_craft_facility:category': 'toilets', 'seamark:type': 'small_craft_facility', 'toilets:handwashing': 'yes', 'unisex': 'yes', 'wheelchair': 'yes'}",2495934893,node,1
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",2550378583,node,1
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",2550378600,node,1
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'water': 'no'}",2550380413,node,1
"{'amenity': 'toilets', 'toilets:disposal': 'pitlatrine', 'type': 'hole in the ground ventilated'}",2943477509,node,1
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",4239095028,node,1
"{'amenity': 'toilets', 'wheelchair': 'no'}",4239166142,node,1
