id,osm_type,lat,lon,label,island,distance_m,toilets_num,image_url,missing_tags,wikimedia_commons_title,wikimedia_commons_url,access,opening_hours,fee,wheelchair,toilets:number,unisex,drinking_water,changing_table,toilet:paper,indoor,operator,website,source,wikidata,wikimedia_commons,image
426925731,node,59.6602993,18.9156089,SAT Furusund,Furusund,17.0,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
863394740,node,59.41759050000001,18.5593101,SAT Grinda,Grinda,6.8,1,,"access, opening_hours, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,no,limited,,,,,,,,,,,,
863394751,node,59.4174664,18.5587252,SAT Grinda,Grinda,3.7,1,,"access, opening_hours, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,no,limited,,,,,,,,,,,,
863394827,node,59.4079202,18.5549403,SAT Grinda,Grinda,3.6,1,,"access, opening_hours, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,no,yes,,,,,,,,,,,,
863423228,node,59.40698770000001,18.5645766,SAT Grinda,Grinda,9.3,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
863423239,node,59.41182870000001,18.5579106,SAT Grinda,Grinda,4.5,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
863423311,node,59.40754569999999,18.5598839,SAT Grinda,Grinda,4.1,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
863423335,node,59.407042600000004,18.564490299999996,SAT Grinda,Grinda,13.0,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
1234107386,node,58.969961999999974,18.3580729,SAT Utö,Utö,17.1,1,,"opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,no,,,,,,,,,,,,,,,
1412263117,node,58.91019489999999,18.218038500000002,SAT Ålö,Ålö,35.0,1,https://commons.wikimedia.org/entity/M163246546,"opening_hours, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, website, source","Category:Ålö_storsand,_public_toilets",https://commons.wikimedia.org/wiki/File:Category:%C3%85l%C3%B6_storsand%2C_public_toilets,yes,,no,,,,,,,,Skärgårdsstiftelsen,,,,"Category:Ålö_storsand,_public_toilets",https://commons.wikimedia.org/entity/M163246546
2225378750,node,59.04984830000001,18.5199205,SAT Fjärdlång,Fjärdlång,10.2,2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg/1024px-SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg,"drinking_water, toilet:paper, indoor, website, source",Category:Fjärdlång_public_toilets,https://commons.wikimedia.org/wiki/File:Category:Fj%C3%A4rdl%C3%A5ng_public_toilets,yes,24/7,no,no,2,yes,,no,,,Skärgårdsstiftelsen,,,,Category:Fjärdlång_public_toilets,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg/1024px-SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg
2285332792,node,59.40622339999999,18.575361999999995,SAT Grinda,Grinda,10.8,1,https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg
2285332799,node,59.4172161,18.557592800000002,SAT Grinda,Grinda,2.6,1,,"access, opening_hours, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,no,limited,,,,,,,,,,,,
2451364941,node,58.9611425,18.339586699999998,SAT Utö,Utö,34.5,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
2495934893,node,59.28790990000001,18.9170226,SAT Sandhamn,Sandön,7.8,1,,"access, opening_hours, toilets:number, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,no,yes,,yes,,,,,,,,,,
2550378583,node,59.0306645,18.5116261,SAT Fjärdlång,Fjärdlång,18.9,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, website, source",,,,,,,,,,,,,Skärgårdsstiftelsen,,,,,
2550378600,node,59.031991500000004,18.519927800000005,SAT Fjärdlång,Fjärdlång,11.5,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, website, source",,,,,,,,,,,,,Skärgårdsstiftelsen,,,,,
2550380413,node,59.047048100000005,18.522849000000004,SAT Fjärdlång,Fjärdlång,39.1,1,,"wheelchair, toilets:number, drinking_water, toilet:paper, indoor, website, source",,,yes,24/7,no,,,yes,,no,,,Skärgårdsstiftelsen,,,,,
2943477509,node,59.03638039999999,18.519132,SAT Fjärdlång,Fjärdlång,5.0,1,,"access, opening_hours, fee, wheelchair, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,,,,,,,,,,,,,,
4239095028,node,59.4071649,18.5563732,SAT Grinda,Grinda,117.2,1,,"access, opening_hours, toilets:number, unisex, drinking_water, changing_table, toilet:paper, indoor, operator, website, source",,,,,no,no,,,,,,,,,,,,
